Hour,Day,Month,Year,Demand(MW),Day_of_week
13,3,7,2021,9789,7
14,3,7,2021,9721,7
15,3,7,2021,9931,7
16,3,7,2021,9556,7
17,3,7,2021,8975,7
18,3,7,2021,8799,7
19,3,7,2021,9766,7
20,3,7,2021,11343,7
21,3,7,2021,11515,7
22,3,7,2021,11424,7
23,3,7,2021,11008,7
24,3,7,2021,10814,7
1,4,7,2021,10312,1
2,4,7,2021,9943,1
3,4,7,2021,9733,1
4,4,7,2021,9574,1
5,4,7,2021,9223,1
6,4,7,2021,8637,1
7,4,7,2021,8335,1
8,4,7,2021,8516,1
9,4,7,2021,8896,1
10,4,7,2021,9103,1
11,4,7,2021,9140,1
12,4,7,2021,9453,1
13,4,7,2021,9588,1
14,4,7,2021,9585,1
15,4,7,2021,9830,1
16,4,7,2021,9776,1
17,4,7,2021,9159,1
18,4,7,2021,8827,1
19,4,7,2021,9679,1
20,4,7,2021,11432,1
21,4,7,2021,11704,1
22,4,7,2021,11342,1
23,4,7,2021,11302,1
24,4,7,2021,10989,1
1,5,7,2021,10430,2
2,5,7,2021,10219,2
3,5,7,2021,9834,2
4,5,7,2021,9616,2
5,5,7,2021,9395,2
6,5,7,2021,8762,2
7,5,7,2021,8654,2
8,5,7,2021,8756,2
9,5,7,2021,9218,2
10,5,7,2021,9656,2
11,5,7,2021,9825,2
12,5,7,2021,10231,2
13,5,7,2021,10463,2
14,5,7,2021,10528,2
15,5,7,2021,10781,2
16,5,7,2021,10558,2
17,5,7,2021,9862,2
18,5,7,2021,9406,2
19,5,7,2021,10324,2
20,5,7,2021,12036,2
21,5,7,2021,12477,2
22,5,7,2021,12460,2
23,5,7,2021,12215,2
24,5,7,2021,12046,2
1,6,7,2021,11455,3
2,6,7,2021,11031,3
3,6,7,2021,10791,3
4,6,7,2021,10610,3
5,6,7,2021,10416,3
6,6,7,2021,9520,3
7,6,7,2021,9364,3
8,6,7,2021,9378,3
9,6,7,2021,9658,3
10,6,7,2021,10124,3
11,6,7,2021,10178,3
12,6,7,2021,10488,3
13,6,7,2021,10791,3
14,6,7,2021,10671,3
15,6,7,2021,10885,3
16,6,7,2021,10584,3
17,6,7,2021,10112,3
18,6,7,2021,9636,3
19,6,7,2021,10611,3
20,6,7,2021,12111,3
21,6,7,2021,12433,3
22,6,7,2021,12374,3
23,6,7,2021,12195,3
24,6,7,2021,12015,3
1,7,7,2021,11549,4
2,7,7,2021,11002,4
3,7,7,2021,10813,4
4,7,7,2021,10455,4
5,7,7,2021,10179,4
6,7,7,2021,9411,4
7,7,7,2021,9247,4
8,7,7,2021,9382,4
9,7,7,2021,9990,4
10,7,7,2021,10087,4
11,7,7,2021,9990,4
12,7,7,2021,10165,4
13,7,7,2021,10224,4
14,7,7,2021,10070,4
15,7,7,2021,9913,4
16,7,7,2021,9709,4
17,7,7,2021,9044,4
18,7,7,2021,8836,4
19,7,7,2021,9770,4
20,7,7,2021,11454,4
21,7,7,2021,11698,4
22,7,7,2021,11741,4
23,7,7,2021,11522,4
24,7,7,2021,11240,4
1,8,7,2021,10740,5
2,8,7,2021,10432,5
3,8,7,2021,10020,5
4,8,7,2021,9858,5
5,8,7,2021,9613,5
6,8,7,2021,8931,5
7,8,7,2021,8693,5
8,8,7,2021,8853,5
9,8,7,2021,9312,5
10,8,7,2021,9599,5
11,8,7,2021,9833,5
12,8,7,2021,10115,5
13,8,7,2021,10309,5
14,8,7,2021,10274,5
15,8,7,2021,10621,5
16,8,7,2021,10389,5
17,8,7,2021,9984,5
18,8,7,2021,9403,5
19,8,7,2021,10313,5
20,8,7,2021,12069,5
21,8,7,2021,12358,5
22,8,7,2021,12294,5
23,8,7,2021,12241,5
24,8,7,2021,12056,5
1,9,7,2021,11516,6
2,9,7,2021,11094,6
3,9,7,2021,10971,6
4,9,7,2021,10715,6
5,9,7,2021,10291,6
6,9,7,2021,9203,6
7,9,7,2021,8962,6
8,9,7,2021,8845,6
9,9,7,2021,8751,6
10,9,7,2021,8741,6
11,9,7,2021,8889,6
12,9,7,2021,9162,6
13,9,7,2021,9682,6
14,9,7,2021,9595,6
15,9,7,2021,9756,6
16,9,7,2021,9577,6
17,9,7,2021,9195,6
18,9,7,2021,8690,6
19,9,7,2021,9560,6
20,9,7,2021,11678,6
21,9,7,2021,12113,6
22,9,7,2021,12439,6
23,9,7,2021,12320,6
24,9,7,2021,12193,6
1,10,7,2021,11794,7
2,10,7,2021,11227,7
3,10,7,2021,10938,7
4,10,7,2021,10744,7
5,10,7,2021,10456,7
6,10,7,2021,9687,7
7,10,7,2021,9531,7
8,10,7,2021,9523,7
9,10,7,2021,9805,7
10,10,7,2021,9836,7
11,10,7,2021,9758,7
12,10,7,2021,10100,7
13,10,7,2021,10447,7
14,10,7,2021,10594,7
15,10,7,2021,10980,7
16,10,7,2021,10953,7
17,10,7,2021,10249,7
18,10,7,2021,9725,7
19,10,7,2021,11080,7
20,10,7,2021,12662,7
21,10,7,2021,12898,7
22,10,7,2021,12958,7
23,10,7,2021,12950,7
24,10,7,2021,12719,7
1,11,7,2021,12275,1
2,11,7,2021,11970,1
3,11,7,2021,11668,1
4,11,7,2021,11333,1
5,11,7,2021,11075,1
6,11,7,2021,10413,1
7,11,7,2021,9827,1
8,11,7,2021,9806,1
