Year,Month,Day,Hour,Demand(kW),Day_of_week,Holiday
2021,6,28,3,236.74,2,1
2021,6,28,4,230.68,2,1
2021,6,28,5,225.42,2,1
2021,6,28,6,203.5,2,1
2021,6,28,7,197.12,2,1
2021,6,28,8,197.88,2,1
2021,6,28,9,205.12,2,1
2021,6,28,10,210.02,2,1
2021,6,28,11,211.54,2,1
2021,6,28,12,213.88,2,1
2021,6,28,13,217.16,2,1
2021,6,28,14,218.52,2,1
2021,6,28,15,221.78,2,1
2021,6,28,16,217.02,2,1
2021,6,28,17,209.34,2,1
2021,6,28,18,201.52,2,1
2021,6,28,19,218.3,2,1
2021,6,28,20,243.96,2,1
2021,6,28,21,246.7,2,1
2021,6,28,22,248.08,2,1
2021,6,28,23,250.86,2,1
2021,6,28,24,250.88,2,1
2021,6,29,1,242.94,3,1
2021,6,29,2,231.14,3,1
2021,6,29,3,223.6,3,1
2021,6,29,4,217.04,3,1
2021,6,29,5,207.2,3,1
2021,6,29,6,189.22,3,1
2021,6,29,7,183.2,3,1
2021,6,29,8,178.92,3,1
2021,6,29,9,183.92,3,1
2021,6,29,10,189.48,3,1
2021,6,29,11,194.64,3,1
2021,6,29,12,195.02,3,1
2021,6,29,13,189.6,3,1
2021,6,29,14,181.9,3,1
2021,6,29,15,189.4,3,1
2021,6,29,16,190.08,3,1
2021,6,29,17,182.66,3,1
2021,6,29,18,184.56,3,1
2021,6,29,19,204.92,3,1
2021,6,29,20,224.22,3,1
2021,6,29,21,228.5,3,1
2021,6,29,22,226.94,3,1
2021,6,29,23,224.5,3,1
2021,6,29,24,219.16,3,1
2021,6,30,1,210.78,4,1
2021,6,30,2,201.28,4,1
2021,6,30,3,196.28,4,1
2021,6,30,4,192.38,4,1
2021,6,30,5,188.34,4,1
2021,6,30,6,176.58,4,1
2021,6,30,7,173.5,4,1
2021,6,30,8,175.4,4,1
2021,6,30,9,187.36,4,1
2021,6,30,10,192.72,4,1
2021,6,30,11,192.44,4,1
2021,6,30,12,198.62,4,1
2021,6,30,13,206.1,4,1
2021,6,30,14,207.2,4,1
2021,6,30,15,211.34,4,1
2021,6,30,16,206.38,4,1
2021,6,30,17,195.94,4,1
2021,6,30,18,188.62,4,1
2021,6,30,19,192.76,4,1
2021,6,30,20,200.96,4,1
2021,6,30,21,204.34,4,1
2021,6,30,22,200.36,4,1
2021,6,30,23,197.62,4,1
2021,6,30,24,193.28,4,1
2021,7,1,1,190.1,5,1
2021,7,1,2,181.46,5,1
2021,7,1,3,173.24,5,1
2021,7,1,4,169.38,5,1
2021,7,1,5,166.02,5,1
2021,7,1,6,157.18,5,1
2021,7,1,7,155.08,5,1
2021,7,1,8,156.88,5,1
2021,7,1,9,163.9,5,1
2021,7,1,10,164.42,5,1
2021,7,1,11,163.68,5,1
2021,7,1,12,169.52,5,1
2021,7,1,13,169.88,5,1
2021,7,1,14,168.68,5,1
2021,7,1,15,168.42,5,1
2021,7,1,16,159.94,5,1
2021,7,1,17,157.46,5,1
2021,7,1,18,161.42,5,1
2021,7,1,19,180.42,5,1
2021,7,1,20,200.4,5,1
2021,7,1,21,201.94,5,1
2021,7,1,22,194.5,5,1
2021,7,1,23,186.5,5,1
2021,7,1,24,182.66,5,1
2021,7,2,1,175.02,6,1
2021,7,2,2,168.78,6,1
2021,7,2,3,162.16,6,1
2021,7,2,4,157.44,6,1
2021,7,2,5,152.66,6,1
2021,7,2,6,143.26,6,1
2021,7,2,7,138.22,6,1
2021,7,2,8,140.62,6,1
2021,7,2,9,141.36,6,1
2021,7,2,10,141.84,6,1
2021,7,2,11,142.88,6,1
2021,7,2,12,147.58,6,1
2021,7,2,13,155.78,6,1
2021,7,2,14,151.94,6,1
2021,7,2,15,154.74,6,1
2021,7,2,16,150.58,6,1
2021,7,2,17,145.64,6,1
2021,7,2,18,148.08,6,1
2021,7,2,19,171.26,6,1
2021,7,2,20,194.06,6,1
2021,7,2,21,198.84,6,1
2021,7,2,22,199.38,6,1
2021,7,2,23,191.76,6,1
2021,7,2,24,185.2,6,1
2021,7,3,1,175.16,7,1
2021,7,3,2,170.24,7,1
2021,7,3,3,165.34,7,1
2021,7,3,4,163.24,7,1
2021,7,3,5,160.74,7,1
2021,7,3,6,151.88,7,1
2021,7,3,7,155.22,7,1
2021,7,3,8,159.64,7,1
2021,7,3,9,168.94,7,1
2021,7,3,10,175.94,7,1
2021,7,3,11,181.02,7,1
2021,7,3,12,188.44,7,1
2021,7,3,13,195.78,7,1
2021,7,3,14,194.42,7,1
2021,7,3,15,198.62,7,1
