Year,Month,Day,Hour,Demand
2015,2,24,19,1205.6703
2015,2,24,20,1167.6898
2015,2,24,21,1116.407
2015,2,24,22,1062.478
2015,2,24,23,1006.4893
2015,2,25,0,946.0765
2015,2,25,1,910.7023
2015,2,25,2,879.4601
2015,2,25,3,853.5808
2015,2,25,4,850.0199
2015,2,25,5,854.3866
2015,2,25,6,866.7739
2015,2,25,7,965.2999
2015,2,25,8,1155.1639
2015,2,25,9,1309.6809
2015,2,25,10,1386.2732
2015,2,25,11,1431.0174
2015,2,25,12,1426.9765
2015,2,25,13,1456.2336
2015,2,25,14,1463.23
2015,2,25,15,1419.0915
2015,2,25,16,1348.1231
2015,2,25,17,1229.5872
2015,2,25,18,1160.5602
2015,2,25,19,1199.2117
2015,2,25,20,1165.7389
2015,2,25,21,1126.0939
2015,2,25,22,1067.2751
2015,2,25,23,1004.8256
2015,2,26,0,945.6614
2015,2,26,1,917.2635
2015,2,26,2,896.4195
2015,2,26,3,874.6707
2015,2,26,4,870.7484
2015,2,26,5,879.1055
2015,2,26,6,909.2972
2015,2,26,7,981.8721
2015,2,26,8,1181.1543
2015,2,26,9,1312.9393
2015,2,26,10,1407.9375
2015,2,26,11,1448.2243
2015,2,26,12,1454.6757
2015,2,26,13,1482.0875
2015,2,26,14,1481.6147
2015,2,26,15,1452.8641
2015,2,26,16,1367.4552
2015,2,26,17,1271.5511
2015,2,26,18,1195.6226
2015,2,26,19,1229.1
2015,2,26,20,1199.5511
2015,2,26,21,1150.5821
2015,2,26,22,1108.879
2015,2,26,23,1057.4094
2015,2,27,0,1007.2678
2015,2,27,1,946.4399
2015,2,27,2,921.4883
2015,2,27,3,908.4987
2015,2,27,4,903.0605
2015,2,27,5,917.9332
2015,2,27,6,930.6109
2015,2,27,7,1022.8325
2015,2,27,8,1199.3561
2015,2,27,9,1335.8023
2015,2,27,10,1421.6641
2015,2,27,11,1453.1152
2015,2,27,12,1461.6209
2015,2,27,13,1492.9365
2015,2,27,14,1483.8517
2015,2,27,15,1439.0632
2015,2,27,16,1366.4436
2015,2,27,17,1249.5016
2015,2,27,18,1209.2918
2015,2,27,19,1252.9119
2015,2,27,20,1180.0675
2015,2,27,21,1166.2989
2015,2,27,22,1106.3358
2015,2,27,23,1103.5443
2015,2,28,0,1065.8837
2015,2,28,1,965.3089
2015,2,28,2,929.9877
2015,2,28,3,896.7364
2015,2,28,4,885.454
2015,2,28,5,894.0852
2015,2,28,6,881.927
2015,2,28,7,939.5976
2015,2,28,8,1122.1967
2015,2,28,9,1222.2865
2015,2,28,10,1294.7379
2015,2,28,11,1309.804
2015,2,28,12,1278.6183
2015,2,28,13,1247.0756
2015,2,28,14,1239.9563
2015,2,28,15,1218.3895
2015,2,28,16,1186.3397
2015,2,28,17,1147.6253
2015,2,28,18,1156.4353
2015,2,28,19,1152.2403
2015,2,28,20,1127.8577
2015,2,28,21,1080.1708
2015,2,28,22,1043.3217
2015,2,28,23,1012.1292
2015,3,1,0,987.4749
2015,3,1,1,959.3752
2015,3,1,2,950.2269
2015,3,1,3,934.0014
2015,3,1,4,921.6899
2015,3,1,5,914.7934
2015,3,1,6,888.3938
2015,3,1,7,865.1266
2015,3,1,8,941.8521
2015,3,1,9,987.451
2015,3,1,10,1021.7926
2015,3,1,11,1055.4467
2015,3,1,12,1066.3254
2015,3,1,13,1083.3517
2015,3,1,14,1078.9879
2015,3,1,15,1073.2706
2015,3,1,16,1063.4001
2015,3,1,17,1054.7252
2015,3,1,18,1077.679
2015,3,1,19,1086.6037
2015,3,1,20,1099.6208
2015,3,1,21,1085.5989
2015,3,1,22,1048.2313
2015,3,1,23,997.7258
2015,3,2,0,956.1538
2015,3,2,1,909.9694
2015,3,2,2,858.9583
2015,3,2,3,851.0059
2015,3,2,4,854.8579
2015,3,2,5,872.4046
2015,3,2,6,891.4508
2015,3,2,7,1027.3528
2015,3,2,8,1197.5061
2015,3,2,9,1306.5471
2015,3,2,10,1372.1466
2015,3,2,11,1413.3268
2015,3,2,12,1423.2565
2015,3,2,13,1451.9682
2015,3,2,14,1468.8801
2015,3,2,15,1437.172
2015,3,2,16,1336.5159
2015,3,2,17,1226.7151
2015,3,2,18,1214.35
2015,3,2,19,1214.3563
2015,3,2,20,1170.49
2015,3,2,21,1134.3468
2015,3,2,22,1093.3789
2015,3,2,23,1047.0085
2015,3,3,0,992.3122
2015,3,3,1,914.746
2015,3,3,2,900.6859
2015,3,3,3,877.4103
2015,3,3,4,865.8946
2015,3,3,5,888.2777
2015,3,3,6,893.043
2015,3,3,7,1033.3871
2015,3,3,8,1204.6198
2015,3,3,9,1324.4906
2015,3,3,10,1403.2292
2015,3,3,11,1405.3644
2015,3,3,12,1417.0581
2015,3,3,13,1445.6757
2015,3,3,14,1462.7069
2015,3,3,15,1411.2968
2015,3,3,16,1342.5382
2015,3,3,17,1195.1681
2015,3,3,18,1174.1041
2015,3,3,19,1186.4435
2015,3,3,20,1153.4786
2015,3,3,21,1118.9913
2015,3,3,22,1052.2139
2015,3,3,23,1031.754
2015,3,4,0,982.1355
2015,3,4,1,894.2492
2015,3,4,2,872.3284
2015,3,4,3,864.0272
2015,3,4,4,864.4674
2015,3,4,5,873.4879
2015,3,4,6,885.7501
2015,3,4,7,991.3248
2015,3,4,8,1186.1571
2015,3,4,9,1300.8204
2015,3,4,10,1375.352
2015,3,4,11,1430.4616
2015,3,4,12,1418.472
2015,3,4,13,1448.4687
2015,3,4,14,1473.3694
2015,3,4,15,1373.4132
2015,3,4,16,1367.4426
2015,3,4,17,1210.323
2015,3,4,18,1196.0936
2015,3,4,19,1226.1349
2015,3,4,20,1177.6462
2015,3,4,21,1152.8966
2015,3,4,22,1088.8577
2015,3,4,23,1012.3104
2015,3,5,0,965.0731
2015,3,5,1,930.5253
2015,3,5,2,902.5818
2015,3,5,3,875.0965
2015,3,5,4,866.1241
2015,3,5,5,896.0456
2015,3,5,6,894.3319
2015,3,5,7,1018.9576
2015,3,5,8,1246.6374
2015,3,5,9,1341.6871
2015,3,5,10,1411.9338
2015,3,5,11,1470.4103
2015,3,5,12,1464.6158
2015,3,5,13,1496.2933
2015,3,5,14,1515.469
2015,3,5,15,1477.1051
2015,3,5,16,1421.0151
2015,3,5,17,1281.9234
2015,3,5,18,1257.8515
2015,3,5,19,1229.9295
2015,3,5,20,1202.5149
2015,3,5,21,1168.2964
2015,3,5,22,1117.8072
2015,3,5,23,1041.6257
2015,3,6,0,1006.4544
2015,3,6,1,975.4831
2015,3,6,2,943.3219
2015,3,6,3,929.4078
2015,3,6,4,920.9117
2015,3,6,5,943.443
2015,3,6,6,939.2197
2015,3,6,7,1105.9066
2015,3,6,8,1289.988
2015,3,6,9,1371.2867
2015,3,6,10,1447.1353
2015,3,6,11,1475.8031
2015,3,6,12,1472.7251
2015,3,6,13,1507.0866
2015,3,6,14,1502.8095
2015,3,6,15,1450.0026
2015,3,6,16,1386.4955
2015,3,6,17,1269.1947
2015,3,6,18,1265.9394
2015,3,6,19,1262.3875
2015,3,6,20,1212.278
2015,3,6,21,1180.6186
2015,3,6,22,1152.0621
2015,3,6,23,1096.5263
2015,3,7,0,1020.879
2015,3,7,1,988.1577
2015,3,7,2,940.5114
2015,3,7,3,919.5828
2015,3,7,4,912.2181
2015,3,7,5,918.0791
2015,3,7,6,914.9858
2015,3,7,7,954.866
2015,3,7,8,1089.3893
2015,3,7,9,1224.1594
2015,3,7,10,1287.2553
2015,3,7,11,1230.0793
2015,3,7,12,1206.0205
2015,3,7,13,1212.7089
2015,3,7,14,1211.4849
2015,3,7,15,1190.6017
2015,3,7,16,1123.6338
2015,3,7,17,1093.3915
2015,3,7,18,1100.5848
2015,3,7,19,1155.6653
2015,3,7,20,1132.9094
2015,3,7,21,1094.8182
2015,3,7,22,1058.3002
2015,3,7,23,1016.05
2015,3,8,0,973.3619
2015,3,8,1,943.3611
2015,3,8,2,917.5305
2015,3,8,3,888.3137
2015,3,8,4,866.3492
2015,3,8,5,872.7952
2015,3,8,6,853.004
2015,3,8,7,849.4585
2015,3,8,8,911.9325
2015,3,8,9,948.9916
2015,3,8,10,981.9938
2015,3,8,11,1020.2824
2015,3,8,12,1046.6897
2015,3,8,13,1041.8133
2015,3,8,14,1033.1481
2015,3,8,15,1015.8367
2015,3,8,16,1007.2228
2015,3,8,17,996.2682
2015,3,8,18,1027.6268
2015,3,8,19,1073.6699
2015,3,8,20,1071.4559
2015,3,8,21,1073.9758
2015,3,8,22,1025.4757
2015,3,8,23,987.4492
2015,3,9,0,947.6318
2015,3,9,1,883.7726
2015,3,9,2,898.1869
2015,3,9,3,889.0924
2015,3,9,4,880.7158
2015,3,9,5,896.293
2015,3,9,6,891.6371
2015,3,9,7,1008.4603
2015,3,9,8,1258.1496
2015,3,9,9,1384.2228
2015,3,9,10,1454.7503
2015,3,9,11,1490.6735
2015,3,9,12,1476.3025
2015,3,9,13,1500.608
2015,3,9,14,1496.134
2015,3,9,15,1456.9111
2015,3,9,16,1396.84
2015,3,9,17,1276.3804
2015,3,9,18,1236.0603
2015,3,9,19,1228.1053
2015,3,9,20,1171.088
2015,3,9,21,1134.0431
2015,3,9,22,1103.3732
2015,3,9,23,1038.2764
2015,3,10,0,935.3784
2015,3,10,1,923.6083
2015,3,10,2,904.9587
2015,3,10,3,902.7271
2015,3,10,4,903.2964
2015,3,10,5,930.5081
2015,3,10,6,934.0236
2015,3,10,7,1056.6712
2015,3,10,8,1275.4709
2015,3,10,9,1354.5037
2015,3,10,10,1407.7297
2015,3,10,11,1436.8196
2015,3,10,12,1458.7687
2015,3,10,13,1520.0709
2015,3,10,14,1515.8634
2015,3,10,15,1478.1546
2015,3,10,16,1417.3595
2015,3,10,17,1292.468
2015,3,10,18,1261.1574
2015,3,10,19,1254.0928
2015,3,10,20,1238.2045
2015,3,10,21,1214.889
2015,3,10,22,1124.1296
2015,3,10,23,1059.745
2015,3,11,0,984.058
2015,3,11,1,962.8839
2015,3,11,2,919.4813
2015,3,11,3,908.6431
2015,3,11,4,905.999
2015,3,11,5,928.3784
2015,3,11,6,945.0044
2015,3,11,7,1047.3626
2015,3,11,8,1249.5345
2015,3,11,9,1352.709
2015,3,11,10,1465.6554
2015,3,11,11,1523.0527
2015,3,11,12,1521.5065
2015,3,11,13,1529.8357
2015,3,11,14,1520.5639
2015,3,11,15,1483.6265
2015,3,11,16,1402.8763
2015,3,11,17,1274.8719
2015,3,11,18,1246.1528
2015,3,11,19,1260.3929
2015,3,11,20,1201.7233
2015,3,11,21,1161.4997
